"distr_id","amount","epoch_no","active_until","drep_id","raw","view","has_script"
"5951","10197179257",522,529,"2","binary data","drep1plm3zm53xcusez3sx0hx3htz27sdlgux04ulagvngq4zu7cry5f",False
"5952","46450734345518",522,533,"9517","binary data","drep1zxy6uhnrwzhuvnarn7gfa0fpcysn6vcuxwsle6xxrf2vq3xvf38",False
"5953","340932198261",522,529,"5700","binary data","drep1zx9u26d8jyulc0klk5jwg7dhku0jm8ntc3s3643kse7ks2na5ud",False
"5954","53908969110",522,535,"655","binary data","drep1zg50s9rwt4tlww9ce6ws57sr98v0d3qnjgacls6wnq5tq608zjf",False
"5955","20853853570",522,527,"2207","binary data","drep1zfc4t0s58ln3mwumm8halypvgd60ud8sxmzgngar58nsgcf0gpp",False
"5956","1193150624",522,539,"1879","binary data","drep1ztnap45v9hyhpxlnpmn6avxv0vvevx7zfhztdprux875vntmd0r",False
"5957","135326846353",522,539,"15794","binary data","drep1zst56wvcww63ueftut9r6eldup9jexhfssep4clhtg685swe7z0",False
"5958","21042387589",522,528,"3943","binary data","drep1z59e30e6r98kndrna3zjm92tj9l53nkxsdny2ju4ychw79yj47s",False
"5959","480131742",522,527,"788","binary data","drep1z55gvtqtqhavjdyzlmgmh7ntzutdkvdkaq6jc8vc7f2hvg0d0s5",False
"5960","1076670148300",522,527,"1846","binary data","drep1z4vr6q5kxpr7kmm667zgnpm7p2yps56zp3mqhjynt7sjyf4p65k",False
"5961","8055970478888",522,539,"974","binary data","drep1zekyxrq5auz5c8gf0p6zehtmfnl7s9q4uqq8m4wkvm4e764u3yw",False
"5962","5572855183",522,528,"126","binary data","drep1z60zgqvhu4ty75ltkxnrknfethxh3n9vwq5g40xcv8y4vp8s3p2",False
"5963","13044784856",522,540,"306","binary data","drep1zmymjy8xyzmxvxuz4mptxpam52exdq4chmwuqsesr2se57jz0v0",False
"5964","50984359",522,530,"6538","binary data","drep1zl5s6j5p6wyw4ulw6zgsz7w8qjsgvyk5sa9n7f6q2st8sre6wvy",False
"5965","6213423448065",522,538,"4135","binary data","drep1rzyq8kfvk2wkymvj6rhxttelrwrky8mad2cz6kajehtz20uev0x",False
"5966","173265296551",522,537,"13169","binary data","drep1rz95fefgxufcjamls4x8a6vnqjd72k624n9sq6fsfvgayqd6r5x",False
"5967","173605809039",522,535,"738","binary data","drep1rzx40e940r986szxqam9vv5qs2jellg5jc7n2yu6eymj6mre4kp",False
"5968","2938049774",522,528,"2731","binary data","drep1rrcnc3h2tv5c2ql4kdg4d2nd7ln0zqz94hcxmz3h0v72xx79jd7",False
"5969","5233271643",522,527,"1481","binary data","drep1r86k3fq5g2rta8lhmgplpzhy76ym3d56lstptxalkszvgsr7xpz",False
"5970","192087877477",522,528,"767","binary data","drep1rg4jw8vkx32qjphpjmsrnw52sfv5ufcalv48nnwdqp6zvanhn7r",False
"5971","21078066580",522,535,"11189","binary data","drep1rdz8xlmpu5clw67fgjsn95ry7zzm74erv9dk5lg9z4c8k6fvrhm",False
"5972","1700675596958",522,541,"18787","binary data","drep1rsfvrrllw5pc7yvp6mwv5yx9y4wlgvpsrs9zvj54qqupuzwcvmm",False
