epoch_no,drep_view,new_delegators,new_delegators_lag2,voting_power_lovelace
508,drep12f0yxpfupgenqacujadfy5vgttnw5ux0jh574g949kq75y9zdyy,1,0,
508,drep12fxcl29dk55lkqqtdce967xm7qsakx4ewyt3apyerwpu5mqcnfw,0,0,1350862701023.0
508,drep12fxzfx0eqxg8v6slzxmgzed2qlhwg8dyksluu0lpas9czkjn062,0,0,
508,drep12g65mc0m2j3xjm83uyvedj5qgaa9av94uuvgkqsvzcqk6p3wz02,0,0,
508,drep12g807u7jtnuzy9ptsw3erkdxsrhcfwr2p856qccdd8ph7tqz877,0,0,
508,drep12gcws5j9ymd9wtacgequjzwlp2shkcyykdyymjztus99y4ks36c,0,0,
508,drep12gnew6yq3wrl80h5py0x6gf6ud9wzzflkc9ysfs8s8lljkuqr0z,0,0,
508,drep12gzas8f4kmt9r35s67rej9l3xle8cpfzm6et50j7eh4asqvu2p2,0,0,5241969329.0
508,drep12hm5wqzscdskws20kkwz03unnf4gs97cr0uwnt95sckt58d4dyh,0,0,
508,drep12htkm25ndtdejhx0d20qkkces4rndfvshf3yuqe8gh62sr76k9a,0,0,
508,drep12hw0lzdzsfe5zg4u32kjf6lrpvhqevr84c8pyr9zs4m22yajlqw,0,0,
508,drep12jc9gwq2r4et8gc5zf3nwtpmud340l3wcmfgeatdwej5kgf4qyr,0,0,
508,drep12jutd9yn3p5suh7lue04w0uf89jl37vksew97ckg3kuh558f5u9,0,0,
508,drep12kauzsflpm95g4m3hsr47j8cenx7t6jd05tpsaaw0ayzqg72r55,0,0,
508,drep12lc3u3xz3h0l9vc4uku57m4cl44lcvdvjuugct48ch92gt8mfv9,0,0,
508,drep12tmtv5l682ragfd2r54dj365nf2s9zxuasalwrg3qgj2jydgdl9,0,0,
508,drep12u3j4dsgdtl69mafcg4zr35f2skt0szun6yz8kqk9lvn2w43ykq,0,0,
508,drep12ukt4ctzmtf6l5rj76cddgf3dvuy0lfz7uky08jfvgr9ugaapz4,0,0,
508,drep12ullhwc7sjv38ex76tg55mgca4dhesfer04kpcn8nrfy5wkmrzr,0,0,
508,drep12w0jfwz4edxknkss8sjsf6fgswz5jkr28m2cfe4mdaztqzk0ymd,0,0,
508,drep12wcgyu5kkdsw3ppjwcd82t6x48e05dszyz054l6cz2hf66qxjt7,0,0,
508,drep12wf8rrrth2xhf9agp30ju60nd0gvkdl2c2trwf7964uu7jqhr0h,0,0,
508,drep12wnsskr7qmr9jaqdampwsqyexmz94supx88603g0r28ssnfrk4f,0,0,
508,drep12wq973hzd3rlsargfdu6yflg25t2m9kw8dcww9sgspqfk24duuj,0,0,
508,drep12wy5ruujw0tef4uxhqd23gae8dqfn0sqh4mxmsxnqpz578tn3m0,2,0,
508,drep12x642saqpwjvz5ry7ycmhsgphsyurcx22vd9fpsjax0ev5ggzuv,0,0,
508,drep12xhxd3y3wanzfwfzwstat8zd77r52mx2vxqz6m07klnyvyhf7fl,0,0,456542627748.0
508,drep12yeups2wk669czgajtrfrvde9ha328hh7sdlf88p0rtggsyf5al,0,0,
508,drep12yvqp9xce03lgxyhp3a0c6ztpx06w6duncpd8dle4xs7ynxftl9,2,0,
508,drep12yyrn4qyat4r32zsw6u3dg6rl65j7q3ln3tdwadptgg9cy5clqj,0,0,
508,drep12z5r3ezr0gdta8ukyu7l347ekh75wfsys8swgz2g50y65tkayfp,1,0,
508,drep12zhz3cdfh9a898mpuftxztw4j45c26tnltz72gfr4f5tv7cd4lk,0,0,
508,drep12zzdk39lm8pnj45effwk6ay4kn82djjfsply4tu95hacunzc2zv,0,0,
508,drep133d0jl9dutqh639ke5hgahtxva83c4dry92dzj8tkpfnvec4kzj,0,0,
508,drep134t96dyk40tklzqss04y7z4f95auxfe37nk9snatkv6xx8ce2kk,0,0,
508,drep1354sytnvd9vfemthjqqqy3rukdnkgh5hxynykq5qhu0870r7zua,0,0,153057482576.0
508,drep136083nwmqj39uhe9huudjc43fu9njtv4j8p3zh97f7vvchlmwnj,0,0,2913294221.0
508,drep1378kvl7nwsk78nr496q7vhmh642myeaepus5w9z9xcur5l6gtsn,1,0,
508,drep138pkk8tchdc26agwesenxxnt5ua9y9vmka4368ck9qf7k8ptzzq,0,0,
508,drep138wvk4kvnpeflff3pvghqla6stey9unksj47rvydwzwtq0z3k2d,11,0,45409823448.0
508,drep139s2dep4aeukx8v93gkx2tjpkm7ehycenst3frqvs34wupn8ya2,0,0,
508,drep13adj4uc30ng90evtwtn8eu40yve5aptluvrt9wxrwgrkq42e5zp,0,0,
508,drep13afyfznnecznqauyqzu2uere2a4mxlr9smywmeka6dgcckvzq68,0,0,
508,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,150,0,4089196359128.0
508,drep13da6nfpgj4aqr8nm2e89a3xyv8485sk9p0dsusz9f0hlz0qsg0m,0,0,
508,drep13dmnuuyysw9lwnx3yucw9ft9qrj2qjah4q87h5wecgwgkffu77s,0,0,
508,drep13e4cu3kdfwsul7fluuv8c2zycfl70ywu64d0ysamk2m7xrv7rsv,1,0,
508,drep13ey77kku9hte6c08w7qvfqz3dl8scza48xulgjjmu4d4xnsn57k,0,0,
508,drep13g5w9xzdtkcqzr4h8hmn9ffapnn6pg6m69txpy9xxhjdyy5f723,0,0,
508,drep13hkxhxvq4wvr3t6utn00nuzwdl83hfy3qsu5meel2d2lq2c6cmd,0,0,
508,drep13hltzwrvs5swmf2l244fwflj83a4mfjydqndn2jwyrrdzp54a7q,0,0,
508,drep13hw8d4m6pc9wfj2xmpr3xjhvl4wyhkvkqwq6qxn9atw9ssqheer,0,0,
508,drep13jeqhlynxf4vaqe6mv0r0xfmnd952zjd3jqnhljxxds6c00cztm,0,0,
508,drep13kczm9gva59uzucm3tdej4jgyjlj2lcj7wverypfk8r2sqkq5mj,1,0,
508,drep13kmv9fc4axfryr4qzftjwt7zwcmsjyenr6xcp2y8lparqfakvg4,0,0,
508,drep13l4q2ek0ncayafme3kadk25z3prlqakfp8qckr7r0yxl52nz36h,0,0,
508,drep13l6fqfaa9wwr6gcx7flwyyymuu6wg5n38aw494a8xnt264z7nwq,0,0,
508,drep13lrngcjhwpqdv4hdzgq2j0vdctahcw7fmhzy2dq239dq5xgtv28,5,0,3224223658667.0
508,drep13lx47usn65ldawqes4nhpeyy0pl3p8hkzxmrw4cjs4ckjufwees,0,0,
508,drep13m3x55v2h9z467ax870e3n9setzjxzzw5sqhq5a5hsn6q2xdeaj,0,0,
508,drep13ngqerkf33r2pz9emyvcu9f05w9ywhf4nqhwhysa4cmcxvdj09p,0,0,
508,drep13nmvvj8wvf584n02qznh4dkch69jm50aza6hlyq6ylk7j0rkqlr,0,0,
508,drep13nn6m2krscfxmnp36rqm4uj6zukm0fx700ymdqyl28z8sep9r36,0,0,
508,drep13nv2gv5d8r6kal49rdtr9pmyu52lfpwwmnuqfa3drs5gyhq3ya3,0,0,100210931172.0
508,drep13pj28tthxw4xnlzy6xv6xpxgcv3rnhqxh3lhv0wd894fvvkphgg,0,0,
508,drep13pqywmumsag0qvtshaz6exgr54v5gm7r5sz0jk58rurwq3jxmz3,0,0,
508,drep13pwa7u937z8ckku3tn5h2esepgzk4294mkzzst3sdwctwt5eu5s,0,0,
508,drep13qdeep8uemaypwwe6qmasp34afh9l5vs2z4tw8l09cf0x7qyrua,0,0,
508,drep13qgtkedmrnvauf6g5l0z9gpp7sjtyxuqc8errg9jj5z3jgm86x5,0,0,
508,drep13qrhsx7qm7cm70ky0eynzat4vsmrqmlwqc0ntyfk0kh75yxfxf2,0,0,
508,drep13r9cn24zg2ehk3af4j0zwg2u2mdchjdvcgn5ps6mrkdrkz8pknq,0,0,
508,drep13rdvmy8vdscv8c20xywavdfxt2y3rqdgpfeycs5fusxvc023y39,4,0,
508,drep13rg7nf706kekh6ldqjmp42uzmjhewjmrjx9se49g7j7x2q6aw78,0,0,
508,drep13rkgzcytx6e5f86gr9wg8hs4x84zktwwsd3nhve4nfm2zd9680k,0,0,
508,drep13rvd9s0095ev0kan7tuqu08kkjn7w82mre7q4j94a89724w3ggv,0,0,
508,drep13ts6jntwfg86v3rkmhlaxj2ewwv85p3dpfs4t97p67dvwfkd0gs,0,0,
508,drep13tupcm5xg34kz7hq7cy7f67p2nszl6l0em2fjd4dp5kkgvyg6uw,0,0,339820546798.0
508,drep13u452z2d7xwzdmh205v6w2fuvgp6msyam3al57nak0ehyeyxrvx,0,0,
508,drep13ulqy0x78d8sglgjwzjxlwyc3q7ql6azqvf7psnpswa3wdtnm3f,0,0,
508,drep13uw46mq3265hzpq865j838ht7sh0yzaawhkgtr2nk7lu79xzyrg,8,0,
508,drep13uw6nhhw5ucfxyw5pp9z937jvltt922kkqvaudc207fsyvn2dft,0,0,
508,drep13v8fkqz9uz64w0r54za8gs9na7nzslq8fu933xrfrv3s7gfl73t,0,0,
508,drep13vm4l38pmsw7eryf2fl6m732fdr6thv7kqezefcw2822spp4tpj,0,0,
508,drep13whcp5axqsjv0y7a8vd550prngjx5254mlj9cjp5g2qxvtf2tpr,0,0,
508,drep13wr6xty22evawwhvjat2slh8ezx758re444hdrevz75077a7nfu,0,0,
508,drep13ws367l38k0m5xuxt5agzjmgaz8r6gqjcp03z6lct8s3xayyplj,0,0,9768525226.0
508,drep13ws3rjsec7yp858an0h73l4aeeekr77hwz3yd6suwmyr2fzlapq,1,0,7749686202.0
508,drep13x5a3c9txr00c5nvrr6utv0zzec4k93k6yd527fgve026m4erln,0,0,
508,drep13xwenys2lwtuhsr5r7wua0m9xdl52dsdv2dgv28lvwu8wzqcuah,2,0,
508,drep13y8sgqzegl58vrk33edaewhpfqsewd34920ykaummvkrk820gak,0,0,
508,drep13yw08r2vm4fek08uz0qvz6le379fsdalt3tmwkntxqlgjcdfekw,1,0,
508,drep13zz5ngfxrjhm8lfqdrh8cr7flfemwh4ds2d9kh4xlcf6yvxrt9r,0,0,7297182354.0
508,drep140revulpmltg57rd63xvvgfwzdnvza597thtl2ztwx7mjca3q4x,0,0,
508,drep142r4c9z475gle4zytyd2203mhpxke9vlu9mctmyrm84k58vr3du,0,0,1177832955.0
508,drep143lxtf54ps3xe3sjtls06r6apndw779njp0m4n4m0m3xvynaq4c,11,0,393606142971.0
508,drep144aqf7238378fsgky9xcrxp6894aw04ycc4fqfghgjp8cppup45,0,0,
508,drep144wfkax4lcn9rwfp66z9l60a5ra58nlfwdvl8spenddr5t3m03n,0,0,1424079326.0
508,drep1459wcwf5srwpervr0rd75cuxcxj9vx6h627juk20uecrvyms7jk,1,0,
508,drep1464zsa2x2qpj7dht8jgegq7zq9v2kpgjsql5n3n40dyrynhwzly,0,0,598240589631.0
