epoch_no,drep_view,new_delegators,new_delegators_lag2
531,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,2
532,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,3
533,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,1,0
534,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
535,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,1
536,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,1,0
537,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
538,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,1
539,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
540,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
541,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
542,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
543,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,3,0
544,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
545,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,1,3
546,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
547,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,1
548,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
549,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
550,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
551,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
552,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
553,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
554,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
555,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
556,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
557,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
558,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0
