distr_id,amount,epoch_no,active_until,drep_id,raw,view,has_script,unique_delegators
110,43681596368,508,527.0,1251,binary data,drep10qpmwuv8353rudgphpkhsq3sa7mw6m6hgyyc902e504jzwwprpq,False,0
111,49500481592,508,527.0,1112,binary data,drep10ygzpegn25c7x6kt4pfyr3rs82ehkvcpeqdn3huvh0hnvw5jq84,False,0
112,597619756008,508,528.0,385,binary data,drep109rd2sz08kvw089d4hw7zy2ygjs575rwh429ntn37fx5v3pwhtl,False,6
113,125031582316,508,527.0,835,binary data,drep109sf5yy88t6lqrgtfw2uejek9z7kqqupzwckexp4e25a6j28a5v,False,2
114,22339870833,508,527.0,786,binary data,drep10xm0dgqfw9le9av4zc97kjfdh8pd8fverrs3ekpnu982q38y6x7,False,0
115,17732841655,508,528.0,181,binary data,drep10g5e0pdr5zj7m2xuvjlauu6xg77yccv9yzukd0gpwhhkjam27cy,False,0
116,218588888000,508,527.0,146,binary data,drep10fcecuw3h3na96627x0s9l2guaycss7n8g3pdqg3x39rgj4l209,False,1
117,371495817459,508,528.0,518,binary data,drep102j4x2aqqj06l88678r8pnml58jc0c8gqltseswyjj3zkc60d43,False,0
118,18075752722,508,527.0,1772,binary data,drep10sac7436zwwrvec4quflqp802wzgl3a8uzq5rx83xvwe223cvnu,False,0
119,23204355367,508,527.0,2244,binary data,drep106asgfntqf5snyw7glg3tk9a2gh7epcps7kf98j9ma4czh2r0f3,False,0
120,8602147577,508,528.0,531,binary data,drep107e480v044a2rjjny8xg6xvjurpgrxkg75f5jnfa35dwswcd7we,False,0
121,102729279204,508,527.0,2164,binary data,drep1sq32cj9r4y4r6yxxglyjnasu2hhmlwttpex8ryy8eksvkpavjx7,False,1
122,27589932680,508,527.0,1458,binary data,drep1spw5ad6tmfu56wkz04eagn6cm6vudr4lhrrc9t4dcgk9s33h7k2,False,0
123,3757956548,508,527.0,1027,binary data,drep1sz060pl2nh4nrq59c6m8ug45uee4fgxmhl29ujereya8jqhnr65,False,0
124,2443227467,508,528.0,455,binary data,drep1srrfjku9xakl5kfpzgkedx20nyfwgp920pwnfl2h56njgvf8qwy,False,0
125,8388422,508,528.0,646,binary data,drep1sykgm32etsv58sekj2xrdv4kvfycfm7l25kvy3hjvssx2ygagmd,False,0
126,26980549034517,508,527.0,979,binary data,drep1sfr9rpws87tesvdzdlmznn5hrf3ezktmwqt9juj3jgelz6mqn60,False,10
127,50156553180,508,527.0,1291,binary data,drep1sfrwwzrrnvll46sgx66tpkgl8uqmrm523yjkf886yaxh6mvczf4,False,0
128,94137759118,508,527.0,1998,binary data,drep1sf9d3ztmkxvrafh7ucpkgj0ejvla5ypraka8e7rwpdemk6pls07,False,2
129,356485958,508,527.0,1415,binary data,drep1s2ge9n486hmq99cnu4y404lfd668cytxt5scjfrpdcwyxuaaxwr,False,0
130,7131528128,508,528.0,224,binary data,drep1s0q86gha8hdq4dgy5usve5evf7c77y3srqvxespmf56c7q55rm2,False,0
131,147271072,508,527.0,1884,binary data,drep1s369jcyjh4nk7ekvrte9fa20sdg32ujdphp7av8xyz7u223jsa2,False,0
132,8919511244,508,527.0,247,binary data,drep1sh842zeupjceky6qyxculqdss67lcy97mx7aqzl9e3k3sr6xlga,False,3
133,709333585,508,528.0,640,binary data,drep1s66dp7mlmpvqwqp4xltvzn6q2086whe0n48kwrfrmmyngmuvvhr,False,37
134,1391004154969,508,527.0,371,binary data,drep1smycdt70dg58adcxm7t9gyhznay3hkc48hznr5sss6dr72duwlz,False,8
135,97620554,508,528.0,382,binary data,drep1su5pahwh9l33vu7fglfvsn00vunwgtra5dg9ctq9q2mych6ksl9,False,0
136,678940920,508,527.0,1438,binary data,drep1saq0vshnrr3mranzdfw36ynh8tlh5649h4xmyv70nrwkxk6x4p5,False,0
