hash,bech32,name,ticker,valid_meta,itn,impersonator,active_stake,live_stake,owner_stake,delegator,block_epoch,total_block,block,margin,fixed_cost,pledge,reward_amount,pool_fee,reg_time,ros,mithril,cluster_name,cluster_order,retiring_epoch
317a33b89efc9c788439d10a1d5d448587b4d1a9ebd6d8e881b698b4,pool1x9ar8wy7ljw83ppe6y9p6h2yskrmf5dfa0td36ypk6vtgqzwqh7,Target,TRGT,True,False,False,6008222335,6008222335,5754184727,7,1,1,0,0.025,340000000,5754000000,482928269,349855678,1613220372,"{'0': '0.0143', '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,,,
01e1ffd11a288a706b7be517947853aa67f8024401ca7ceb06de70fc,pool1q8sll5g69z98q6mmu5teg7zn4fnlsqjyq898e6cxmec0cj9lk6r,MATRIX,MATRX,True,False,False,13408015848,13408015848,105927120,5,1,1,0,0.02,340000000,100000000,382429350,347804680,1613217277,"{'0': '0.0087', '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,,,
4c02967847f9fd4a7279a316768edeef13999bfcc4fef0bcb021d869,pool1fspfv7z8l8755une5vt8drk7aufenxlucnl0p09sy8vxjw5kz3y,Platinum Pool,PLAT,True,False,False,90645611,90645611,0,4,1,1,0,0.001,340000000,1000000000,395954270,340396350,1613194258,"{'0': '0.0311', '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,,,
65a6837264ea1d99e8af24e3a0f54cd4b3821919eb3e59b3a56b857e,pool1vkngxunyagwen690yn36pa2v6jecyxgeavl9nva9dwzhu22fzt7,Love2Stake: 0.00% Fee & 100% Rewards,LOVE2,True,False,False,739397341467,739397341467,1530004019,79,177,295,0,0,340000000,500000000,109555862911,57120000000,1613172880,"{'0': '0.0229', '1': 0, '2': 0, '3': 0, '6': '0.0064', '12': '0.0033', '18': '0.0022', '36': '0.0011', '73': '0.0058'}",False,,,
d397ad89845f0b6c9347ca59ec1b424d8137b4b617e6bf57582718f1,pool16wt6mzvytu9key68efv7cx6zfkqn0d9kzlnt746cyuv0zj3nxh8,BananaBit Pool,BANAN,True,False,False,288181439124,288093849184,12499920621,8,64,71,0,0,170000000,10000000000,17279912939,19773530234,1613170242,"{'0': '0.0133', '1': 0, '2': 0, '3': 0, '6': '0.0160', '12': '0.0237', '18': '0.0185', '36': '0.0207', '73': '0.0108'}",False,,,
e66b34646251e760c1701d0348819fa73e08c97bffe55d91ed7cd472,pool1ue4ngerz28nkpstsr5p53qvl5ulq3jtmllj4my0d0n28yyrn4l4,StakePools Cardano Pool,STP,True,False,False,11327966298830,11329724354208,82470522034,58,313,2992,0,0.01,340000000,50000000000,1466770755338,120865617601,1613145691,"{'0': '0.0323', '1': 0, '2': '0.0068', '3': '0.0099', '6': '0.0150', '12': '0.0199', '18': '0.0210', '36': '0.0219', '73': '0.0230'}",False,,,
0ef08db5aa29eb31415d11b7de179b1d4b0026301bec80dee3ee8894,pool1pmcgmdd2984nzs2azxmau9umr49sqf3sr0kgphhra6yfg67nt00,Antverpia,ANR,True,False,False,397921363,397921363,397921363,2,1,1,0,0.02,345000000,10000000000,401145875,353186650,1613125791,"{'0': '0.0053', '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,,,
5f3865430bb7c7f142f1abaa80704a72f936d8917a5839bc162503e0,pool1tuux2sctklrlzsh34w4gquz2wtundky30fvrn0qky5p7qr5n00d,,,True,False,False,5398685,5398685,5398685,1,0,0,0,0.15,345000000,100000000,0,0,1613107277,"{'0': 0, '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,,,
a4be954679e0d08ed6af7193c329150d9e174b6f5976c609907cc2c2,pool15jlf23neurgga440wxfux2g4pk0pwjm0t9mvvzvs0npvy59mdpn,BardoPool1,BARD1,True,False,False,1822883,1822883,1822883,2,0,0,0,0.02,345000000,2500000000,0,0,1613100050,"{'0': 0, '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,,,
f8e64037e3917cd7cb94969a5374e11b9e6c939b4b69118a8eb4509f,pool1lrnyqdlrj97d0ju5j6d9xa8prw0xeyumfd53rz5wk3gf7czqzjz,Tygar,TYGAR,True,False,False,2664505501353,2595203821716,111303620621,574,297,1200,2,0.01,340000000,100000000000,557828532596,106200830792,1613076491,"{'0': '0.0324', '1': 0, '2': '0.0002', '3': '0.0132', '6': '0.0149', '12': '0.0168', '18': '0.0135', '36': '0.0142', '73': '0.0175'}",False,,,
b14d2db38d2f94c9a0f1d68bbb333dcb579e84734a7e063ebe26b5c4,pool1k9xjmvud972vng83669mkveaedteaprnfflqv047y66ugtqjyyq,SXYGRL,SXGRL,True,False,False,3136691715,3136691715,498625042,5,0,0,0,0.15,345000000,100000000,0,0,1613063159,"{'0': 0, '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,myadapoolnamerocks.com,1.0,
e21d2f6855c1b5023a18e34f35b55b2ad1141330dce7f8d00357e9be,pool1ugwj76z4cx6sywscud8ntd2m9tg3gyesmnnl35qr2l5mu06pe3x,The JDFR pool,JDFR,True,False,False,10051229098,10051229098,5895099116,3,2,4,0,0,340000000,5000000000,2266542266,680000000,1613062853,"{'0': '0.0310', '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,,,
9de0b1634db79afad8f12271820c9f165d70b6aa55bbffd79aed316a,pool1nhstzc6dk7d04k83yfccyrylzewhpd422kall4u6a5ck5c0pw3q,K2 Pool,K2P,True,False,False,3214256242,533517462,120856153,7,0,0,0,0.01,340000000,100000000,0,0,1613055582,"{'0': 0, '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,,,
1f973a6bf2a4bcbcf844945cc04dee238eb1c505d62eed7dd301a5b4,pool1r7tn56lj5j7te7zyj3wvqn0wyw8tr3g96chw6lwnqxjmgggrfd8,Julien Aklei,AKLEI,True,False,False,76305536831,76305536831,10000000,31,13,13,0,0.024,340000000,2500000000,3708163618,4511518560,1613035220,"{'0': '0.0102', '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,,,
e687aac4b89e544df7aa84ca7c57e7702c8c411a0ca2e1d15191549d,pool1u6r6439cne2ymaa2sn98c4l8wqkgcsg6pj3wr523j92f6744qcu,NORWAY,NOR,True,False,False,0,0,0,3,0,0,0,0.01,340000000,1000000000,0,0,1612960180,"{'0': 0, '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,,,
de7f214056fa551217d6ed21203bb09e7f479b34e8f4740bcf87f6f9,pool1meljzszklf23y97ka5sjqwasnel50xe5ar68gz70slm0jmt2wxs,The Morphium,MRPHM,True,False,False,77219023078,77220178158,1092168321,165,77,415,0,0.03,340000000,1000000000,224370143923,34974900442,1612940849,"{'0': '0.0281', '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': '0.0049', '73': '0.0086'}",True,,,
f1ae552b032c2d87a416f4067eaf4636b3fe5e80230a1f63aa33f6bc,pool17xh922cr9skc0fqk7sr8at6xx6eluh5qyv9p7ca2x0mtc3st0mz,SeasideStaking,SEA,True,False,False,1273446541040,1286584556130,45323243468,859,222,465,0,0.02,170000000,40000000000,176383792272,61470021022,1612896619,"{'0': '0.0235', '1': 0, '2': '0.0150', '3': '0.0100', '6': '0.0134', '12': '0.0195', '18': '0.0173', '36': '0.0164', '73': '0.0174'}",False,,,
a7c31f27cdebd1c96b4a960c47e498a961441b8dc34b191c02acd386,pool15lp37f7da0guj662jcxy0eyc49s5gxudcd93j8qz4nfcvuhrsf9,SCV Pool,SCV01,True,False,False,59766299144,59766299144,2899232564,99,129,571,0,0,340000000,100000000,345652557795,43951623082,1612873394,"{'0': '0.0374', '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,,,
6333007fadda8a9e086c2c426a02197f02e3abb4f17e22bf51341231,pool1vvesqladm29fuzrv93px5qse0upw82a579lz9063xsfrz7yef7z,8SQRD Cardano Stake Pool,8SQRD,True,False,False,861981984850,861981984850,95643472116,19,113,169,0,0,340000000,51000000000,45736993351,38539597108,1612866216,"{'0': '0.0156', '1': 0, '2': 0, '3': '0.0004', '6': '0.0007', '12': '0.0005', '18': '0.0041', '36': '0.0080', '73': '0.0069'}",False,,,
e4abcf4408584601e7c707a8902996c0c291e1a3c8300b327ae3f6ab,pool1uj4u73qgtprqre78q75fq2vkcrpfrcdreqcqkvn6u0m2k6nk2yp,Everstake,EVE1,True,False,False,65289408866847,64319468623968,1500771374,27347,319,16470,17,0.04,400000000,1000000000,7898216706950,415404404746,1612860558,"{'0': '0.0325', '1': 0, '2': '0.0090', '3': '0.0143', '6': '0.0198', '12': '0.0219', '18': '0.0236', '36': '0.0239', '73': '0.0256'}",False,everstake.one,6.0,
387c1f515894d2511d1e791161e69882ddb427ab1701b7af719a8c9f,pool18p7p752cjnf9z8g70ygkre5cstwmgfatzuqm0tm3n2xf739j8k8,Sagan Stake Pool,SAGAN,True,False,False,1901405172811,1898629000569,52312723559,165,165,252,0,0,170000000,5000000000,77900201538,42681285031,1612831443,"{'0': '0.0200', '1': 0, '2': '0.0171', '3': '0.0184', '6': '0.0221', '12': '0.0181', '18': '0.0199', '36': '0.0209', '73': '0.0210'}",True,,,
85599d2fa1d28c5b5dacbdac549d32f56d0a2cdc22213e79d6e4ad19,pool1s4ve6tap62x9khdvhkk9f8fj74ks5txuygsnu7wkujk3jd2c0jh,Craiva Stake Pool,CRAI1,True,False,False,326466865,326466865,0,6,0,0,0,0,340000000,15999000000,0,0,1612782967,"{'0': 0, '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,,,
d3adaebc7b707f8615dbd18f823359f7b24f091fe0a79a4840683690,pool16wk6a0rmwplcv9wm6x8cyv6e77ey7zgluzne5jzqdqmfq52s69q,,,True,False,False,0,0,0,0,0,0,0,0,340000000,5000000000,0,0,1612752726,"{'0': 0, '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,,,
2a20182092016edb6cb818c7e9bde99d03a571a1c724ea6e4c3eb8f3,pool19gspsgyjq9hdkm9crrr7n00fn5p62udpcujw5mjv86u0xua9yxr,Tierplace,TIER,True,False,False,0,0,0,1,0,0,0,0.01,340000000,1000000000,0,0,1612717727,"{'0': 0, '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,,,
8f67312cb7927075292fcc986927c986ccdd630a3bae1b52dd4671a4,pool13annzt9hjfc822f0ejvxjf7fsmxd6cc28whpk5kagec6ggfmm7u,Atomic Nodes #3,AWP3,True,False,False,19966227996106,19958323002643,83031111312,35716,285,9615,4,0.05,345000000,1000000000,5306075828037,376165127857,1612616811,"{'0': '0.0305', '1': 0, '2': '0.0086', '3': '0.0065', '6': '0.0045', '12': '0.0051', '18': '0.0061', '36': '0.0063', '73': '0.0037'}",False,atomicwallet.io,2.0,
9b97ad981c8456110e17b1297a58961147209b7dc0d8e78b44ed8bcb,pool1nwt6mxqus3tpzrshky5h5kykz9rjpxmacrvw0z6yak9uk5p5045,DigitalAssetNews Two,DNEWS,True,False,False,22970297161866,23006190126337,40320992855,2867,318,6737,9,0.05,340000000,40000000000,3362660500634,284443144780,1612554617,"{'0': '0.0343', '1': 0, '2': '0.0145', '3': '0.0177', '6': '0.0226', '12': '0.0225', '18': '0.0238', '36': '0.0241', '73': '0.0253'}",False,danteachescrypto.com,1.0,
a4b576a73fd6342c0ce8e44a040686b0e0ad54932df6724efd2364b3,pool15j6hdfel6c6zcr8gu39qgp5xkrs264yn9hm8ynhaydjtxvmznxq,💡 ADA Skepsis 💡,ASKP,True,False,False,3002733338367,3003488500683,20901743232,130,253,964,2,0,260000000,20000000000,390370054358,81708891100,1612493181,"{'0': '0.0294', '1': 0, '2': '0.0011', '3': '0.0102', '6': '0.0195', '12': '0.0199', '18': '0.0242', '36': '0.0243', '73': '0.0233'}",True,,,
57147265c639309d365ef7c419698cbc9c1d3337d58c1c6a373a4130,pool12u28yewx8ycf6dj77lzpj6vvhjwp6veh6kxpc63h8fqnqqtlwmu,Noops Pool,NOOPS,True,False,False,411245162464,411245162464,102765745579,357,133,409,0,0,340000000,60000000000,224668479357,47284305786,1612475091,"{'0': '0.0395', '1': 0, '2': 0, '3': 0, '6': '0.0112', '12': '0.0061', '18': '0.0044', '36': '0.0027', '73': '0.0065'}",False,,,
3d1e6611b34537690ace03b54d689eceaf01a3b6c4487f487300ec37,pool1850xvydng5mkjzkwqw6566y7e6hsrgakc3y87jrnqrkrwdjua2p,BITA,BITA,True,False,False,14316821787959,14313336712583,17455182,745,319,5246,5,1,340000000,10000000,2310433964353,489844877053,1612471244,"{'0': '0.0303', '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': '0.0013'}",False,,,
35119f1ed0d4b0f91e704b88005ecae58dfb305e11bfb2f168b6aafa,pool1x5ge78ks6jc0j8nsfwyqqhk2ukxlkvz7zxlm9utgk6405hh490n,Input Output Global (IOHK) - Private,IOGP,True,False,False,0,0,0,1,36,1151,0,1,500000000,1000000000000,0,781180109546,1612464804,"{'0': 0, '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,iohk.io,33.0,
3a0c080b10b148b7ca13161458d29a3516fc35e66e423d15cbe94775,pool18gxqszcsk9yt0jsnzc293556x5t0cd0xdepr69wta9rh23349j5,Up And Byte Canada,UAB,True,False,False,5018662003,5018662003,5018662003,1,0,0,0,0.15,345000000,5000000000,0,0,1612463554,"{'0': 0, '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,,,
75c48bfd17b701338131cdc3b8f6a3e218f31b6817795888191abae2,pool1whzghlghkuqn8qf3ehpm3a4rugv0xxmgzau43zqer2awy2rngef,Bull-Pool,BULL1,True,False,False,20369775749,20369775749,10000000,11,0,0,0,0.03,340000000,10000000000,0,0,1612436752,"{'0': 0, '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,,,
4f161e8a4faf2d77fa95de9d930c6543722d8ffacbc36812e1c15120,pool1futpazj04ukh0754m6wexrr9gdezmrl6e0pksyhpc9gjql44l0y,Shambhu,SMBU1,True,False,False,457999378,457999378,347416817,3,0,0,0,0,345000000,50000000,0,0,1612408293,"{'0': 0, '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,myadapoolnamerocks.com,0.0,
b4df42b89ce252f80c235b3896455e5de9557eb855334bdf1b77e122,pool1kn059wyuuff0srprtvufv327th542l4c25e5hhcmwlsjymwr32d,TrustIsCardano,TIC,True,False,False,504683670,504683670,503612018,3,0,0,0,0.02,340000000,500000000,0,0,1612394900,"{'0': 0, '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,,,
