hash,bech32,name,ticker,valid_meta,itn,impersonator,active_stake,live_stake,owner_stake,delegator,block_epoch,total_block,block,margin,fixed_cost,pledge,reward_amount,pool_fee,reg_time,mithril,ros.0,ros.1,ros.2,ros.3,ros.6,ros.12,ros.18,ros.36,ros.73,cluster_name,cluster_order
e8f538755c14d1e7f1274b46b5f292ba0c247149a8ba7b9eb410eb1a,pool1ar6nsa2uzng70uf8fdrttu5jhgxzgu2f4za8h845zr435nfcruw,1STEP,1STEP,True,False,False,7868426579835,7861786383135,28293464445,301,211,3455,9,0.015,170000000,25000000000,1507046114529,62874377632,1643611734,False,0.0305,0.0212,0.0278,0.0256,0.0289,0.0256,0.0274,0.0262,0.0270,,
a08fe0a8ba2477ec80e17738704357532ad561733448d53001fe966b,pool15z87p296y3m7eq8pwuu8qs6h2v4d2ctnx3yd2vqpl6txkkdvl5h,"MUEN-StakePool,",MUEN,True,False,False,7739960517594,7845845831342,15029460774,55,216,1165,8,0.02,340000000,10000000000,476198663059,82515839740,1620441567,True,0.0284,0.0234,0.0252,0.0179,0.0164,0.0192,0.0198,0.0202,0.0204,muen-project.com,0.0
9c691303a1c00ee59216d9f12aa1f559c6c7c7ebc93f17e2aa1711eb,pool1n353xqapcq8wtyskm8cj4g04t8rv03lteyl30c42zug7kzv8vqz,NES Pool,NES,True,False,False,7832361465038,7834397146479,48473401,57,173,1326,12,0,340000000,0,515118156692,58140000000,1626722203,False,0.0272,0.0202,0.0288,0.0226,0.0215,0.0225,0.0253,0.0243,0.0250,,
7f95f046d15412681750282e334605ff54bd1d83039300fae504dd6a,pool1072lq3k32sfxs96s9qhrx3s9la2t68vrqwfsp7h9qnwk56yr2mv,🟣 Spectrum Finance | LBSP x2.25,lSPF0,True,False,False,8259615506011,7808536853531,395600743986,23,135,974,7,1,340000000,400000000,0,395083325497,1689945744,False,0.0005,0,0,0,0,0,0,0,0,anetabtc.io,3.0
9dfeca095f80562460252072fd8438f08936ef5a2077583a9722bd97,pool1nhlv5z2lsptzgcp9ype0mppc7zyndm66ypm4sw5hy27ewdchqx0,P2P & CEX,PPCX2,True,False,False,7774891077224,7763435168247,13902690463,2037,338,7577,7,0.035,340000000,1000000000,4819525099486,123400539049,1602860746,False,0.0411,0.0098,0.0115,0.0175,0.0203,0.0232,0.0211,0.0207,0.0235,p2p.org,1.0
c4039f4fa97ed735b884800d6d605dbc65fbe995c4ba70b532e162a2,pool1cspe7naf0mtntwyysqxk6czah3jlh6v4cja8pdfju932yxsehnm,Cardano Blockhouse,CBH,True,False,False,7707121685212,7725842643208,106920360635,513,239,2232,8,0,340000000,100000000000,973453338565,81661445182,1613661979,False,0.0302,0.0206,0.0189,0.0206,0.0212,0.0232,0.0208,0.0223,0.0234,,
fe6147876ad38293a09bf61bdaf9e64260ee5857212ccb91304feadc,pool1les50pm26wpf8gym7cda470xgfswukzhyykvhyfsfl4dcu2ezj4,Sagittarius Pool,SGTRS,True,False,False,7706516921411,7707582726074,6317086888,10,278,1705,7,0.03,340000000,1000000000,735683975222,116582849331,1625402394,False,0.0311,0.0066,0.0083,0.0144,0.0172,0.0217,0.0210,0.0226,0.0235,,
4f04025065314e75684cd38357ac6af703fcef705d9b4f638e3caf46,pool1fuzqy5r9x98826zv6wp40tr27uplemmstkd57cuw8jh5v5m90vn,Staking 24/7,247,True,True,False,8098564389821,7682697963286,1519740769778,590,343,5413,3,0.005,340000000,300000000000,2568225876777,130150876608,1596072711,False,0.0341,0.0325,0.0293,0.0282,0.0283,0.0247,0.0258,0.0242,0.0278,,
785b5ab754a1f43fb56d173873e7db9d6069616c6da1b5be93981220,pool10pd44d65586rldtdzuu88e7mn4sxjctvdksmt05nnqfzqu7g7hd,Rama DeFi Bangkok,RDB,True,False,False,12265325342049,7661039103191,131357866,39,17,235,11,0.9999,340000000,100000000,7165355,74196315343,1742054171,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,thc-room335.com,5.0
1e1be043e289a619d8bcd2f0eca0941aa9eaf1278701c5542b46a3e9,pool1rcd7qslz3xnpnk9u6tcwegy5r2574uf8suqu24ptg637jha3sr5,Nielsen-Nielsen,NINI,True,False,False,7599731609389,7602218301461,2082495872,143,348,3145,7,0.02,340000000,100000000,1912942417872,156350085759,1599163280,False,0.0388,0.0204,0.0188,0.0274,0.0260,0.0282,0.0268,0.0237,0.0236,,
