epoch,delegator_id,drep_id,switched,delta_u,p_reconsider,p_switch_cond,p_overall
0,a122,d13,0,0.0,0.36439622965313645,0.0,0.0
0,a123,d84,0,0.0,0.8044515372148211,0.0,0.0
0,a124,d47,0,0.0,0.9561463355201122,0.0,0.0
0,a125,d10,0,0.0,0.2982305049084085,0.0,0.0
0,a126,d63,0,0.0,0.09885552102910278,0.0,0.0
0,a127,d67,0,0.0,0.1707483419856184,0.0,0.0
0,a128,d23,0,0.0,0.33188982631501085,0.0,0.0
0,a129,d67,0,0.0,0.8848286190862225,0.0,0.0
0,a130,d56,0,0.0,0.6091948727199753,0.0,0.0
0,a131,d87,0,0.0,0.945028615205358,0.0,0.0
0,a132,d12,0,0.0,0.5302627637492148,0.0,0.0
0,a133,d34,0,0.0,0.8183799692275836,0.0,0.0
0,a134,d31,0,0.0,0.5194434536296678,0.0,0.0
0,a135,d66,0,0.0,0.14424933600810386,0.0,0.0
0,a136,d43,0,0.0,0.5658995133702693,0.0,0.0
0,a137,d90,0,0.0,0.974085937059261,0.0,0.0
0,a138,d56,0,0.0,0.9324493649243109,0.0,0.0
0,a139,d18,0,0.0,0.23343136017587673,0.0,0.0
0,a140,d65,0,0.0,0.017960587554182617,0.0,0.0
0,a141,d65,0,0.0,0.5702860199355297,0.0,0.0
0,a142,d33,0,0.0,0.4922779007415935,0.0,0.0
0,a143,d26,0,0.0,0.22255443805436093,0.0,0.0
0,a144,d4,0,0.0,0.018541212594669787,0.0,0.0
0,a145,d67,0,0.0,0.8381348601687693,0.0,0.0
0,a146,d13,0,0.0,0.8518591599530687,0.0,0.0
0,a147,d34,0,0.0,0.8964348986113981,0.0,0.0
0,a148,d59,0,0.0,0.34741785396135416,0.0,0.0
0,a149,d36,0,0.0,0.833804844485498,0.0,0.0
0,a150,d26,0,0.0,0.25820612925515407,0.0,0.0
0,a151,d24,0,0.0,0.8646117954743049,0.0,0.0
0,a152,d14,0,0.0,0.463738758718062,0.0,0.0
0,a153,d65,0,0.0,0.842799738107936,0.0,0.0
0,a154,d43,0,0.0,0.22344056322607497,0.0,0.0
0,a155,d13,0,0.0,0.11133126417736161,0.0,0.0
0,a156,d31,0,0.0,0.10622154828253316,0.0,0.0
0,a157,d51,0,0.0,0.2662744277386726,0.0,0.0
0,a158,d79,0,0.0,0.7939911582890901,0.0,0.0
0,a159,d31,0,0.0,0.04352527247581284,0.0,0.0
0,a160,d49,0,0.0,0.1171296694790378,0.0,0.0
0,a161,d100,0,0.0,0.5057934604416945,0.0,0.0
0,a162,d37,0,0.0,0.8461322275562804,0.0,0.0
0,a163,d43,0,0.0,0.9112018047784938,0.0,0.0
0,a164,d1,0,0.0,0.6457711810833219,0.0,0.0
0,a165,d30,0,0.0,0.2851138019232714,0.0,0.0
0,a166,d79,0,0.0,0.3140126378284024,0.0,0.0
0,a167,d44,0,0.0,0.20370663017040236,0.0,0.0
0,a168,d39,0,0.0,0.20453871361566822,0.0,0.0
0,a169,d70,0,0.0,0.13432567293042408,0.0,0.0
0,a170,d85,0,0.0,0.8402611351495625,0.0,0.0
0,a171,d6,0,0.0,0.7166348883855156,0.0,0.0
0,a172,d96,0,0.0,0.09594918280780884,0.0,0.0
0,a173,d44,0,0.0,0.9401773940737399,0.0,0.0
0,a174,d61,0,0.0,0.7760705957561437,0.0,0.0
0,a175,d82,0,0.0,0.6785193021586076,0.0,0.0
0,a176,d66,0,0.0,0.834006343864053,0.0,0.0
0,a177,d19,0,0.0,0.841827740934448,0.0,0.0
0,a178,d100,0,0.0,0.19336578991275977,0.0,0.0
0,a179,d75,0,0.0,0.5060981477974857,0.0,0.0
0,a180,d86,0,0.0,0.21575570638955832,0.0,0.0
0,a181,d7,0,0.0,0.44637187818185164,0.0,0.0
0,a182,d8,0,0.0,0.14805462380495193,0.0,0.0
0,a183,d9,0,0.0,0.45938328819580154,0.0,0.0
0,a184,d44,0,0.0,0.8971948741226743,0.0,0.0
0,a185,d7,0,0.0,0.9314038952237516,0.0,0.0
0,a186,d70,0,0.0,0.7937801136218415,0.0,0.0
0,a187,d56,0,0.0,0.6203438091065312,0.0,0.0
0,a188,d31,0,0.0,0.5546774481087148,0.0,0.0
0,a189,d34,0,0.0,0.5769459869443544,0.0,0.0
0,a190,d80,0,0.0,0.8794705404653091,0.0,0.0
0,a191,d75,0,0.0,0.6202362467103029,0.0,0.0
0,a192,d7,0,0.0,0.4577401902832725,0.0,0.0
0,a193,d34,0,0.0,0.12000676585179604,0.0,0.0
0,a194,d15,0,0.0,0.9502918760868718,0.0,0.0
0,a195,d84,0,0.0,0.9506109835819974,0.0,0.0
0,a196,d28,0,0.0,0.7520996806033291,0.0,0.0
0,a197,d93,0,0.0,0.9183552174333048,0.0,0.0
0,a198,d100,0,0.0,0.41380745044051837,0.0,0.0
0,a199,d23,0,0.0,0.06287595482140962,0.0,0.0
0,a200,d80,0,0.0,0.006274354180210828,0.0,0.0
0,a201,d48,0,0.0,0.8795096191330103,0.0,0.0
0,a202,d41,0,0.0,0.1262121964969266,0.0,0.0
0,a203,d43,0,0.0,0.2625765238912118,0.0,0.0
0,a204,d84,0,0.0,0.5245752032005229,0.0,0.0
0,a205,d90,0,0.0,0.9715553209240056,0.0,0.0
0,a206,d56,0,0.0,0.37170723249873205,0.0,0.0
0,a207,d9,0,0.0,0.9857713153424009,0.0,0.0
0,a208,d15,0,0.0,0.5328631049317278,0.0,0.0
0,a209,d75,0,0.0,0.3964964416703134,0.0,0.0
0,a210,d63,0,0.0,0.004576893727908815,0.0,0.0
0,a211,d63,0,0.0,0.1314288495934821,0.0,0.0
0,a212,d6,0,0.0,0.38458686402219855,0.0,0.0
0,a213,d87,0,0.0,0.1723147887285793,0.0,0.0
0,a214,d79,0,0.0,0.8017678202551323,0.0,0.0
0,a215,d38,0,0.0,0.11726611078209226,0.0,0.0
0,a216,d48,0,0.0,0.5175350246851017,0.0,0.0
0,a217,d17,0,0.0,0.7927025956821943,0.0,0.0
0,a218,d22,0,0.0,0.537799577173611,0.0,0.0
0,a219,d29,0,0.0,0.7655762351456958,0.0,0.0
0,a220,d41,0,0.0,0.5271074390621233,0.0,0.0
0,a221,d41,0,0.0,0.5609083752345874,0.0,0.0
0,a222,d88,0,0.0,0.47905231531173786,0.0,0.0
0,a223,d49,0,0.0,0.29567936316261734,0.0,0.0
0,a224,d58,0,0.0,0.7085633946180017,0.0,0.0
0,a225,d76,0,0.0,0.900703524444133,0.0,0.0
0,a226,d61,0,0.0,0.3310832881532826,0.0,0.0
0,a227,d65,0,0.0,0.5154569948119068,0.0,0.0
0,a228,d37,0,0.0,0.32212919395869355,0.0,0.0
0,a229,d38,0,0.0,0.7930072543245514,0.0,0.0
0,a230,d82,0,0.0,0.8325705800767425,0.0,0.0
0,a231,d36,0,0.0,0.8895365940511003,0.0,0.0
0,a232,d13,0,0.0,0.49032083389432146,0.0,0.0
0,a233,d22,0,0.0,0.4241439669294783,0.0,0.0
0,a234,d82,0,0.0,0.26644078484297296,0.0,0.0
0,a235,d46,0,0.0,0.7008038481223822,0.0,0.0
0,a236,d53,0,0.0,0.2755958329257814,0.0,0.0
0,a237,d60,0,0.0,0.23911250757440605,0.0,0.0
0,a238,d75,0,0.0,0.9097575898104004,0.0,0.0
0,a239,d98,0,0.0,0.09008029983411403,0.0,0.0
0,a240,d61,0,0.0,0.6083357446387134,0.0,0.0
0,a241,d57,0,0.0,0.9021621623739629,0.0,0.0
0,a242,d75,0,0.0,0.9110910776349868,0.0,0.0
0,a243,d34,0,0.0,0.9597389573118061,0.0,0.0
0,a244,d34,0,0.0,0.5261987161148177,0.0,0.0
0,a245,d6,0,0.0,0.991836298698002,0.0,0.0
0,a246,d90,0,0.0,0.10660288304386001,0.0,0.0
0,a247,d96,0,0.0,0.06177062718738735,0.0,0.0
0,a248,d33,0,0.0,0.011766023619331212,0.0,0.0
0,a249,d57,0,0.0,0.224206519845763,0.0,0.0
0,a250,d43,0,0.0,0.7117729553430507,0.0,0.0
0,a251,d38,0,0.0,0.02402784118401502,0.0,0.0
0,a252,d24,0,0.0,0.28270038812614107,0.0,0.0
0,a253,d7,0,0.0,0.24082344989942306,0.0,0.0
0,a254,d89,0,0.0,0.7794175410635464,0.0,0.0
0,a255,d55,0,0.0,0.5431378984555493,0.0,0.0
0,a256,d31,0,0.0,0.18017225411779558,0.0,0.0
0,a257,d9,0,0.0,0.3699489345590453,0.0,0.0
0,a258,d4,0,0.0,0.4297710156932173,0.0,0.0
0,a259,d97,0,0.0,0.18341444898475923,0.0,0.0
0,a260,d40,0,0.0,0.046095597581856995,0.0,0.0
0,a261,d37,0,0.0,0.39115241513467336,0.0,0.0
0,a262,d32,0,0.0,0.42771530767208243,0.0,0.0
0,a263,d30,0,0.0,0.9280626155513495,0.0,0.0
0,a264,d61,0,0.0,0.6554679962970404,0.0,0.0
0,a265,d6,0,0.0,0.7335164342876699,0.0,0.0
0,a266,d19,0,0.0,0.7198102477397573,0.0,0.0
0,a267,d41,0,0.0,0.25352511531303945,0.0,0.0
0,a268,d81,0,0.0,0.44381097897799204,0.0,0.0
0,a269,d88,0,0.0,0.7847354622367602,0.0,0.0
0,a270,d80,0,0.0,0.486136519582677,0.0,0.0
0,a271,d60,0,0.0,0.7446034923124284,0.0,0.0
0,a272,d100,0,0.0,0.04146075156258755,0.0,0.0
0,a273,d74,0,0.0,0.5273669876290543,0.0,0.0
0,a274,d13,0,0.0,0.34236242869254896,0.0,0.0
0,a275,d3,0,0.0,0.8247070754634286,0.0,0.0
0,a276,d38,0,0.0,0.8376547347312997,0.0,0.0
0,a277,d66,0,0.0,0.9583380222387199,0.0,0.0
0,a278,d66,0,0.0,0.8667810457957182,0.0,0.0
0,a279,d54,0,0.0,0.33452085853100555,0.0,0.0
0,a280,d86,0,0.0,0.9488525270464878,0.0,0.0
0,a281,d38,0,0.0,0.7324289376496989,0.0,0.0
0,a282,d8,0,0.0,0.07398736483200041,0.0,0.0
0,a283,d47,0,0.0,0.7775634023636547,0.0,0.0
0,a284,d36,0,0.0,0.4135042808962427,0.0,0.0
0,a285,d31,0,0.0,0.645679124780723,0.0,0.0
0,a286,d63,0,0.0,0.5707677469880811,0.0,0.0
0,a287,d96,0,0.0,0.32547225169963845,0.0,0.0
0,a288,d38,0,0.0,0.9854635100076757,0.0,0.0
0,a289,d49,0,0.0,0.4833419231602648,0.0,0.0
0,a290,d73,0,0.0,0.2081608765517332,0.0,0.0
0,a291,d19,0,0.0,0.8128844011297978,0.0,0.0
0,a292,d30,0,0.0,0.37536642934014086,0.0,0.0
0,a293,d26,0,0.0,0.8783039589284507,0.0,0.0
0,a294,d36,0,0.0,0.632317202488961,0.0,0.0
0,a295,d60,0,0.0,0.10677991100999629,0.0,0.0
0,a296,d67,0,0.0,0.4940677109524051,0.0,0.0
0,a297,d60,0,0.0,0.5857022495545099,0.0,0.0
0,a298,d7,0,0.0,0.4408124497835577,0.0,0.0
